period;reporterDesc;flowDesc;partnerDesc;classificationSearchCode;cmdCode;cmdDesc;primaryValue
2019;Russian Federation;Import;Czechia;S4;2;Crude materials, inedible, except fuels;28652580,4
2019;Russian Federation;Import;Denmark;S4;2;Crude materials, inedible, except fuels;40037999,65
2019;Russian Federation;Import;Dominican Rep.;S4;2;Crude materials, inedible, except fuels;17879,89
2019;Russian Federation;Import;Ecuador;S4;2;Crude materials, inedible, except fuels;67701539,01
2019;Russian Federation;Import;El Salvador;S4;2;Crude materials, inedible, except fuels;11946,79
2019;Russian Federation;Import;Ethiopia;S4;2;Crude materials, inedible, except fuels;1288630,82
2019;Russian Federation;Import;Estonia;S4;2;Crude materials, inedible, except fuels;9467201,45
2019;Russian Federation;Import;Finland;S4;2;Crude materials, inedible, except fuels;118616381,2
2019;Russian Federation;Import;France;S4;2;Crude materials, inedible, except fuels;130172238,8
2019;Russian Federation;Import;Gabon;S4;2;Crude materials, inedible, except fuels;72247578,24
2019;Russian Federation;Import;Georgia;S4;2;Crude materials, inedible, except fuels;6837770,91
2019;Russian Federation;Import;Gambia;S4;2;Crude materials, inedible, except fuels;220,19
2019;Russian Federation;Import;Germany;S4;2;Crude materials, inedible, except fuels;336481566,9
2019;Russian Federation;Import;Greece;S4;2;Crude materials, inedible, except fuels;5720474,46
2019;Russian Federation;Import;Guyana;S4;2;Crude materials, inedible, except fuels;46143,74
2019;Russian Federation;Import;Honduras;S4;2;Crude materials, inedible, except fuels;310114,71
2019;Russian Federation;Import;Iceland;S4;2;Crude materials, inedible, except fuels;4763,11
2019;Russian Federation;Import;Indonesia;S4;2;Crude materials, inedible, except fuels;139302669,1
2019;Russian Federation;Import;Iran;S4;2;Crude materials, inedible, except fuels;11994533,82
2019;Russian Federation;Import;Ireland;S4;2;Crude materials, inedible, except fuels;161268538,2
2019;Russian Federation;Import;Israel;S4;2;Crude materials, inedible, except fuels;12316901,23
2019;Russian Federation;Import;Italy;S4;2;Crude materials, inedible, except fuels;79534948
2019;Russian Federation;Import;Japan;S4;2;Crude materials, inedible, except fuels;53020044,6
2019;Russian Federation;Import;Kazakhstan;S4;2;Crude materials, inedible, except fuels;2144367261
2019;Russian Federation;Import;Kenya;S4;2;Crude materials, inedible, except fuels;26222575,71
2019;Russian Federation;Import;Rep. of Korea;S4;2;Crude materials, inedible, except fuels;69557030,19
2019;Russian Federation;Import;Kuwait;S4;2;Crude materials, inedible, except fuels;1002321,96
2019;Russian Federation;Import;Kyrgyzstan;S4;2;Crude materials, inedible, except fuels;88945600
2019;Russian Federation;Import;Latvia;S4;2;Crude materials, inedible, except fuels;28271651,1
2019;Russian Federation;Import;Liberia;S4;2;Crude materials, inedible, except fuels;1775313,45
2019;Russian Federation;Import;Madagascar;S4;2;Crude materials, inedible, except fuels;677791,35
2019;Russian Federation;Import;Malaysia;S4;2;Crude materials, inedible, except fuels;129082242
2019;Russian Federation;Import;Malta;S4;2;Crude materials, inedible, except fuels;1885,14
2019;Russian Federation;Import;Mexico;S4;2;Crude materials, inedible, except fuels;103638256,9
2019;Russian Federation;Import;Mongolia;S4;2;Crude materials, inedible, except fuels;26344948,23
2019;Russian Federation;Import;Rep. of Moldova;S4;2;Crude materials, inedible, except fuels;3082208,32
2019;Russian Federation;Import;Morocco;S4;2;Crude materials, inedible, except fuels;11359028,6
2019;Russian Federation;Import;Mozambique;S4;2;Crude materials, inedible, except fuels;403751,99
2019;Russian Federation;Import;Netherlands;S4;2;Crude materials, inedible, except fuels;296578048,4
2019;Russian Federation;Import;New Zealand;S4;2;Crude materials, inedible, except fuels;3763786,15
2019;Russian Federation;Import;Nicaragua;S4;2;Crude materials, inedible, except fuels;3540320,18
2019;Russian Federation;Import;Nigeria;S4;2;Crude materials, inedible, except fuels;668974,19
2019;Russian Federation;Import;Norway;S4;2;Crude materials, inedible, except fuels;11503356,51
2019;Russian Federation;Import;Pakistan;S4;2;Crude materials, inedible, except fuels;3787214,53
2019;Russian Federation;Import;Panama;S4;2;Crude materials, inedible, except fuels;547419,48
2019;Russian Federation;Import;Papua New Guinea;S4;2;Crude materials, inedible, except fuels;3345,95
2019;Russian Federation;Import;Paraguay;S4;2;Crude materials, inedible, except fuels;324456301,1
2019;Russian Federation;Import;Peru;S4;2;Crude materials, inedible, except fuels;102253624,5
2019;Russian Federation;Import;Poland;S4;2;Crude materials, inedible, except fuels;69761096,52
2019;Russian Federation;Import;Portugal;S4;2;Crude materials, inedible, except fuels;21190129,22
2019;Russian Federation;Import;Romania;S4;2;Crude materials, inedible, except fuels;49912243,31
2019;Russian Federation;Import;Rwanda;S4;2;Crude materials, inedible, except fuels;19534,98
2019;Russian Federation;Import;Saudi Arabia;S4;2;Crude materials, inedible, except fuels;2922160,68
2019;Russian Federation;Import;Senegal;S4;2;Crude materials, inedible, except fuels;87477,88
2019;Russian Federation;Import;Serbia;S4;2;Crude materials, inedible, except fuels;53418255,35
2019;Russian Federation;Import;India;S4;2;Crude materials, inedible, except fuels;133800772,5
2019;Russian Federation;Import;Singapore;S4;2;Crude materials, inedible, except fuels;2519740,78
2019;Russian Federation;Import;Slovakia;S4;2;Crude materials, inedible, except fuels;6516277,04
2019;Russian Federation;Import;Viet Nam;S4;2;Crude materials, inedible, except fuels;32863822,47
2019;Russian Federation;Import;Slovenia;S4;2;Crude materials, inedible, except fuels;875932,58
2019;Russian Federation;Import;Somalia;S4;2;Crude materials, inedible, except fuels;257,73
2019;Russian Federation;Import;Zimbabwe;S4;2;Crude materials, inedible, except fuels;200097,73
2019;Russian Federation;Import;Spain;S4;2;Crude materials, inedible, except fuels;64262889,82
2019;Russian Federation;Import;Sudan;S4;2;Crude materials, inedible, except fuels;176396,78
